author,updated_at,like_count,text,public
@RickAstleyYT,2021-07-28T21:00:32Z,1335730,billion views for never gonna give you up  amazing crazy wonderful rick,True
@WortyRedman,2024-03-01T19:24:20Z,2,bro link says free prn,True
@cheezymeteor101,2024-03-01T19:18:45Z,1,i purposefully searched for and clicked on this video and still got rick rolled,True
@zpper-og2nw,2024-03-01T19:16:09Z,3,i followed the link to find out the first and last name of barack obama and here it is,True
@henryharson,2024-03-01T18:38:07Z,5,were is my free robux,True
@farischannel9618,2024-03-01T18:37:06Z,3,this song has old,True
@stromtroper200,2024-03-01T18:21:41Z,2,i know people at my schools radio so i rickrolled the entire school thats a story for my kids,True
@FrostyTheGamer,2024-03-01T18:19:26Z,2,anyone else come from expedition a mudrunner game,True
@coolyjmin,2024-03-01T18:07:27Z,1,ive been rick rolled so im here,True
@AvarAhmed58,2024-03-01T17:50:32Z,1,begula likes this song,True
@danielcaio1269,2024-03-01T17:29:30Z,2,essa msica  e muito boa,True
@sandwich-pu3tz,2024-03-01T17:26:50Z,3,we rickrolling my school disco with this one,True
@jay-virm,2024-03-01T17:23:44Z,1,very funny porter server,True
@SPA22Y,2024-03-01T17:20:23Z,1,i got rickrolled by flipping dyno the discord bot,True
@willsdsm,2024-03-01T17:15:32Z,4,expeditions mudrunner,True
@Ich-pr6ph,2024-03-01T17:07:54Z,3,i just rickrolled my class chat,True
@user-oc5qo3fd9z,2024-03-01T17:06:51Z,2,i got rick rolled bruh,True
@DawnM7787,2024-03-01T17:05:17Z,2,heck yea i still managed to rick roll my friends,True
@lolik5222,2024-03-01T17:03:11Z,2,bruh backrooms fandom,True
@ouruniverse3908,2024-03-01T16:57:11Z,3,years and still a banger,True
@sonomi2417,2024-03-01T16:56:03Z,1,damn you random qr code,True
@gouleqYT,2024-03-01T16:46:23Z,2,we like this song,True
@EddieBlake215,2024-03-01T16:44:34Z,1,at this point i know the youtube link by heart and even then even then i got rick rolled today,True
@shadowminiac6037,2024-03-01T16:43:43Z,2,i ended up coming here yet again  damn you a friend of mine i dont even anymore lmao ill just see it to the end now that im here,True
@rhymestar5004,2024-03-01T16:40:22Z,0,listen to this while pulling for sparkle hsr,True
@zestycalamari,2024-03-01T16:39:32Z,0,bruh yrs ago,True
@henryworthington77,2024-03-01T16:36:48Z,0,thanks i will do this to everyone,True
@Jumpingonpaws,2024-03-01T16:17:25Z,2,billion  views,True
@sigmamale07official,2024-03-01T16:02:20Z,3,anyone from,True
@Taisija.20.9,2024-03-01T15:49:41Z,2,i got rickrolled by a qr code on a profile picture,True
@MegaNexas,2024-03-01T15:47:44Z,2,day  of getting rickrolled everyday,True
@OneTuffGuppy,2024-03-01T15:36:15Z,3,like my comment cause tacos,True
@Lyothere,2024-03-01T15:29:32Z,2,lets just keep rickrolling people until this hits  billion views,True
@Canine-Minecraft,2024-03-01T15:29:19Z,0,where my robux,True
@IHATEFURRIES0,2024-03-01T15:24:40Z,2,who the hell rickrolled me,True
@kylepullin,2024-03-01T15:21:54Z,1,expeditions,True
@Freedom__,2024-03-01T15:11:01Z,0,helldivers  devs got me,True
@AFTER_SEV7N,2024-03-01T15:03:55Z,0,oh dear audi ad you saved me,True
@pupsik993,2024-03-01T14:56:56Z,1,all of us got rickrolled,True
@linhviet12505,2024-03-01T14:49:45Z,0,what is the day after this easter,True
@RamolancesV2,2024-03-01T14:43:56Z,1,rick rolled d,True
@God_noob420,2024-03-01T14:27:40Z,0,nothing rickroll,True
@FunOfMemes-fun,2024-03-01T14:22:49Z,0,million comments unbelieveable,True
@paraa2443,2024-03-01T14:21:41Z,0,my clipboard just rickrolled me,True
@irinahillmann,2024-03-01T14:04:10Z,4,the best song ever,True
@arkhamwhitt5546,2024-03-01T14:02:59Z,3,the game expedition brought me here,True
@uchihaitachi9464,2024-03-01T13:54:20Z,2,who else has listened brians version,True
@zachelias2340,2024-03-01T13:45:01Z,4,of the world got rickrolled,True
@giga9319,2024-03-01T13:25:51Z,2,where is free gem,True
@henrya21davis12,2024-03-01T13:19:41Z,3,i sppamed this every day for  yrs,True
@UnluckyHelloing,2024-03-01T12:55:11Z,2,nobody is talking about that black guy doing some jumping  on the background,True
@pascaldelissey7867,2024-03-01T12:48:59Z,2,subscribe or dieeeeeeee,True
@nonanimeprofilepic,2024-03-01T12:46:36Z,3,anyone here from scanning a qr code from entrapanure lol,True
@Space-is-c00l,2024-03-01T12:46:24Z,2,i scanned a qr code,True
@TEXAN_SHADOW,2024-03-01T12:37:08Z,1,whos here from expeditions a mudrunner game,True
@fggyrth,2024-03-01T12:31:16Z,1,you has been rickrolled,True
@umadevisharma2866,2024-03-01T12:13:10Z,1,this is sus,True
@eagleboygames,2024-03-01T12:03:48Z,2,amazing song,True
@tomsmith4386,2024-03-01T11:54:06Z,2,he looked taller back then,True
@dima3087,2024-03-01T11:51:59Z,1,good track like,True
